"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0006412",2.40081862133008e-109,1,89,276,"translation","BP","black","Day2"
"2","GO:0042254",6.38114866230137e-109,1,90,252,"ribosome biogenesis","BP","black","Day2"
"3","GO:0006091",1.20096749948529e-17,1,20,216,"generation of precursor metabolites and energy","BP","black","Day2"
"4","GO:0044281",4.80809697754451e-06,0.99999874531443,19,1051,"small molecule metabolic process","BP","black","Day2"
"5","GO:0055085",0.000141000886041027,0.999971792490494,10,498,"transmembrane transport","BP","black","Day2"
"6","GO:0009056",0.000193900664598143,0.999952185866306,12,739,"catabolic process","BP","black","Day2"
"7","GO:0009058",0.00147577073950852,0.999248415322626,32,3022,"biosynthetic process","BP","black","Day2"
"8","GO:0034641",0.00581114096422564,0.9969667346386,26,2677,"cellular nitrogen compound metabolic process","BP","black","Day2"
"9","GO:0005840",2.1666664096359e-121,1,98,255,"ribosome","CC","black","Day2"
"10","GO:0032991",1.1328233454602e-21,1,68,3519,"protein-containing complex","CC","black","Day2"
"11","GO:0005739",1.38983942484998e-16,1,26,350,"mitochondrion","CC","black","Day2"
"12","GO:0005622",9.1833359021513e-11,1,27,1052,"intracellular anatomical structure","CC","black","Day2"
"13","GO:0005829",0.00329593778545737,0.999776586270403,3,40,"cytosol","CC","black","Day2"
"14","GO:0005654",0.00743583441225485,0.998315591900763,6,247,"nucleoplasm","CC","black","Day2"
"15","GO:0005730",0.00943471568091481,0.999048199225138,3,66,"nucleolus","CC","black","Day2"
"16","GO:0005856",0.0457292272190555,0.984393164971326,6,959,"cytoskeleton","CC","black","Day2"
"17","GO:0003735",4.97380438177151e-117,1,88,176,"structural constituent of ribosome","MF","black","Day2"
"18","GO:0003723",7.80827878241135e-10,1,18,550,"RNA binding","MF","black","Day2"
"19","GO:0019843",4.34961143832313e-08,0.999999999592512,5,10,"rRNA binding","MF","black","Day2"
"20","GO:0008135",1.1995405513317e-06,0.999999928803729,7,66,"translation factor activity, RNA binding","MF","black","Day2"
"21","GO:0016491",3.43522046009938e-06,0.999998957248831,24,1338,"oxidoreductase activity","MF","black","Day2"
"22","GO:0051082",0.00458814320891043,0.999645728502153,3,53,"unfolded protein binding","MF","black","Day2"
"23","GO:0016853",0.00977845508896549,0.998484361689617,4,121,"isomerase activity","MF","black","Day2"
"24","GO:0008233",0.0218630073942109,0.991245807494298,10,1210,"peptidase activity","MF","black","Day2"
